liquor_id,liqour_name,ingredient_id,ingredient_name,similarity
6918,white_wine,4056,mango_powder,0.02802421897649765
6918,white_wine,4070,maple_sugar,0.0288312416523695
6918,white_wine,4071,maple_syrup,0.006257059518247843
6918,white_wine,4076,margarine,-2.123415470123291e-05
6918,white_wine,4092,marshmallow,0.018864326179027557
6918,white_wine,4101,mascarpone,-0.022558845579624176
6918,white_wine,4105,mashed_sweet_potato,0.02735443226993084
6918,white_wine,4106,masoor_dal,-0.018496772274374962
6918,white_wine,4116,mayonnaise,0.014572961255908012
6918,white_wine,4129,meatball,0.012838557362556458
6918,white_wine,4132,meatloaf,0.023192493245005608
6918,white_wine,4145,medium_rye_flour,0.023086311295628548
6918,white_wine,4156,meringue_powder,-0.003099905326962471
6918,white_wine,4163,methi_seed,0.018690939992666245
6918,white_wine,4165,mexican_blend_cheese,-0.004994930699467659
6918,white_wine,4170,mexican_crema,0.005794525146484375
6918,white_wine,4180,mexican_tomato_sauce,0.0013562999665737152
6918,white_wine,4189,mild_cheddar_cheese,-0.0426969900727272
6918,white_wine,4205,milk_chocolate,-0.0314914770424366
6918,white_wine,4207,milk_chocolate_chip,0.009112708270549774
6918,white_wine,4214,millet_flour,0.0016157901845872402
6918,white_wine,4225,minestrone_soup,0.007356317713856697
6918,white_wine,4247,mint_extract,0.020133674144744873
6918,white_wine,4254,minute_rice,-0.015888383612036705
6918,white_wine,4258,miracle_whip,0.013593718409538269
6918,white_wine,4287,mixed_vegetable,-0.015219196677207947
6918,white_wine,4290,mochi_rice,-0.032450586557388306
6918,white_wine,4296,monterey_jack_and_cheddar_cheese_blend,0.022939534857869148
6918,white_wine,4347,mustard_powder,-0.01174333319067955
6918,white_wine,4348,mustard_seed,0.011379025876522064
6918,white_wine,4421,nonfat_milk,-0.036875173449516296
6918,white_wine,4422,nonfat_plain_yogurt,-0.008358261547982693
6918,white_wine,4427,nonstick_cooking_spray,-0.016924329102039337
6918,white_wine,4439,nutritional_yeast,0.00133059814106673
6918,white_wine,4440,nutritional_yeast_flake,-0.007833071053028107
6918,white_wine,4473,olive_oil_flavored_cooking_spray,-0.017385367304086685
6918,white_wine,4480,onion_flake,0.02761564590036869
6918,white_wine,4491,onion_soup_mix,0.013355489820241928
6918,white_wine,4501,orange_blossom_honey,0.025670569390058517
6918,white_wine,4502,orange_blossom_water,0.014286469668149948
6918,white_wine,4510,orange_flower_water,0.007958391681313515
6918,white_wine,4588,pancake,0.004288902506232262
6918,white_wine,4591,pancake_syrup,-0.03581906482577324
6918,white_wine,4593,panch_phoron,0.025999296456575394
6918,white_wine,4595,paneer_cheese,0.01490173488855362
6918,white_wine,4612,parchment_paper,0.004057236015796661
6918,white_wine,4626,part_skim_mozzarella_cheese,0.001054525375366211
6918,white_wine,4648,pastry_flour,0.026944376528263092
6918,white_wine,4709,pearl_barley,0.016681531444191933
6918,white_wine,4717,pecan_half,0.024139560759067535
6918,white_wine,4723,pecorino_romano_cheese,0.022116445004940033
6918,white_wine,4724,pectin,0.015008265152573586
6918,white_wine,4726,pen,-0.012889380566775799
6918,white_wine,4730,pepitas,0.025666408240795135
6918,white_wine,4741,peppercorn_ranch_dressing,-0.01780158281326294
6918,white_wine,4745,peppermint_candy,0.012184320017695427
6918,white_wine,4768,pheasant,0.011985715478658676
6918,white_wine,4773,philadelphia_neufchatel_cheese,0.027080664411187172
6918,white_wine,4776,phyllo_dough,-0.004364822059869766
6918,white_wine,4780,picante_sauce,0.023534022271633148
6918,white_wine,4788,pickled_daikon,0.026466209441423416
6918,white_wine,4802,pickling_lime,0.008060680702328682
6918,white_wine,4849,pineapple_chunks_in_juice,-0.014380806125700474
6918,white_wine,4875,pink_salmon,-0.00694698840379715
6918,white_wine,4885,pistachio,0.021026398986577988
6918,white_wine,4886,pistachio_ice_cream,-0.022079050540924072
6918,white_wine,4888,pistachio_oil,-0.04730396717786789
6918,white_wine,4889,pistachio_paste,0.005283322185277939
6918,white_wine,4904,pizza_sauce,-0.03333117812871933
6918,white_wine,4914,plain_low_fat_yogurt,-0.01944507658481598
6918,white_wine,4915,plain_nonfat_yogurt,-0.01859195902943611
6918,white_wine,4920,plain_yogurt,0.0246812105178833
6918,white_wine,4923,planters_pecan,-0.0074844155460596085
6918,white_wine,4934,plum_sauce,0.023885289207100868
6918,white_wine,4942,polenta,-0.02323276177048683
6918,white_wine,4952,pomegranate_molasses,0.008952773176133633
6918,white_wine,4974,pork_bone,0.017141785472631454
6918,white_wine,4995,pork_rib_rack,0.020901501178741455
6918,white_wine,4999,pork_sausage,0.028184399008750916
6918,white_wine,5017,portabella_mushroom,0.01318107545375824
6918,white_wine,5028,potato_bread,0.006393035873770714
6918,white_wine,5030,potato_chip,0.011527699418365955
6918,white_wine,5035,potato_starch,0.020989995449781418
6918,white_wine,5051,powdered_ginger,0.015634778887033463
6918,white_wine,5053,powdered_milk,0.011180921457707882
