liquor_id,liqour_name,ingredient_id,ingredient_name,similarity
6903,white_rum,4019,macaroni_shells_and_cheese,-0.017230477184057236
6903,white_rum,4688,peanut_brittle,-0.01037374697625637
6903,white_rum,4800,pickled_vegetable,-0.014369569718837738
6903,white_rum,5392,reduced_sodium_cream_of_chicken_soup,-0.00042863376438617706
6903,white_rum,5467,roast_pork,-0.05753238871693611
6903,white_rum,5862,small_elbow_macaroni,0.0037744115106761456
6903,white_rum,5921,snickers_candy_bar,-0.03041638806462288
6903,white_rum,5934,sofrito_sauce,0.005909901112318039
6903,white_rum,6077,spring_roll_wrapper,0.009918427094817162
6903,white_rum,6167,sturgeon_fillet,-0.030922094359993935
6903,white_rum,6645,vanilla_flavor_instant_pudding_and_pie_filling_mix,0.008770119398832321
6903,white_rum,6866,white_cornmeal,-0.009197704493999481
6911,white_tequila,13,2%_fat_cottage_cheese,0.0034896451979875565
6911,white_tequila,666,braunschweiger_sausage,0.005776206962764263
6911,white_tequila,806,buttermilk_baking_mix,0.007164842449128628
6911,white_tequila,1500,condensed_cream_of_potato_soup,0.00042936019599437714
6911,white_tequila,1637,country_sausage,-0.0023974264040589333
6911,white_tequila,2109,dry_enchilada_mix,-0.01801040768623352
6911,white_tequila,2367,fish_cake,0.005129896104335785
6911,white_tequila,2429,french_fried_onion_ring,0.0017471443861722946
6911,white_tequila,3143,gyoza_skin,0.006299270316958427
6911,white_tequila,3191,hash_brown_patty,0.003462961409240961
6911,white_tequila,3212,head_of_broccoli,0.004605898633599281
6911,white_tequila,3217,heads_cauliflower,0.0042000506073236465
6911,white_tequila,4034,maitake_mushroom,-0.0018679648637771606
6911,white_tequila,4217,minced_chicken,-0.020095501095056534
6911,white_tequila,4333,mushroom_gravy,0.00896280724555254
6911,white_tequila,4817,pierogies,0.006444351747632027
6911,white_tequila,5550,round_sourdough_loaf,-0.007581721059978008
6911,white_tequila,5631,salted_salmon,-0.013715174049139023
6911,white_tequila,5857,sloppy_joe_sandwich_sauce,0.0016971658915281296
6911,white_tequila,5862,small_elbow_macaroni,-0.019748136401176453
6911,white_tequila,6077,spring_roll_wrapper,0.005207314621657133
6911,white_tequila,6101,steak_ums,0.00942186824977398
6911,white_tequila,6287,sweetcorn,0.005975127220153809
